id,name,party
92,RepAdams,0
94,RepPeteAguilar,0
95,RepRickAllen,0
96,RepColinAllred,0
97,RepArmstrongND,0
98,RepArrington,0
99,RepAuchincloss,0
100,RepCindyAxne,0
101,RepBrianBabin,0
102,RepDonBacon,0
103,RepJimBaird,0
104,RepBalderson,0
105,RepJimBanks,0
106,RepAndyBarr,0
107,RepBarragan,0
108,RepKarenBass,0
109,RepBeatty,0
110,RepBera,0
111,RepDonBeyer,0
112,RepBice,0
113,RepAndyBiggsAZ,0
114,RepGusBilirakis,0
116,RepDanBishop,0
117,RepLBR,0
118,RepBoebert,0
119,RepBonamici,0
120,RepBost,0
121,RepBourdeaux,0
122,RepBowman,0
124,RepKevinBrady,0
125,RepMoBrooks,0
126,RepAnthonyBrown,0
127,RepShontelBrown,0
128,RepBrownley,0
130,RepKenBuck,0
131,RepLarryBucshon,0
132,RepTedBudd,0
133,RepTimBurchett,0
135,RepCori,0
136,RepCheri,0
137,RepKatCammack,0
138,RepCarbajal,0
139,RepCardenas,0
140,RepMikeCarey,0
141,RepJerryCarl,0
142,RepAndreCarson,0
143,RepBuddyCarter,0
145,RepTroyCarter,0
146,RepEdCase,0
147,RepCasten,0
150,RepCawthorn,0
151,RepSteveChabot,0
152,RepLizCheney,0
154,RepJudyChu,0
155,RepKClark,0
156,RepYvetteClarke,0
158,RepBenCline,0
159,RepCloudTX,0
161,Rep_Clyde,0
162,RepCohen,0
164,RepJamesComer,0
166,RepLouCorrea,0
167,RepJimCosta,0
168,RepJoeCourtney,0
169,RepAngieCraig,0
170,RepCharlieCrist,0
171,RepJasonCrow,0
172,RepJohnCurtis,0
173,RepDavids,0
176,RepDean,0
177,RepPeterDeFazio,0
178,RepDianaDeGette,0
180,RepDelBene,0
182,RepValDemings,0
183,RepDeSaulnier,0
184,RepTedDeutch,0
186,RepDebDingell,0
187,RepLloydDoggett,0
188,RepDonaldsPress,0
190,RepJeffDuncan,0
192,RepTomEmmer,0
193,RepEscobar,0
194,RepAnnaEshoo,0
195,RepEspaillat,0
196,RepRonEstes,0
197,RepDwightEvans,0
198,RepPatFallon,0
199,RepFeenstra,0
200,RepDrewFerguson,0
201,RepFischbach,0
202,RepBrianFitz,0
203,RepChuck,0
204,RepFletcher,0
205,RepBillFoster,0
207,RepLoisFrankel,0
208,RepFranklin,0
209,RepRussFulcher,0
210,RepMattGaetz,0
211,RepGallagher,0
212,RepRubenGallego,0
213,RepGaramendi,0
214,RepGarbarino,0
215,RepChuyGarcia,0
216,RepMikeGarcia,0
217,RepSylviaGarcia,0
218,RepBobGibbs,0
219,RepCarlos,0
221,RepGolden,0
222,RepJimmyGomez,0
223,RepTonyGonzales,0
224,RepJenniffer,0
225,RepGonzalez,0
226,RepBobGood,0
228,RepGosar,0
229,RepJoshG,0
230,RepKayGranger,0
231,RepGarretGraves,0
232,RepAlGreen,0
233,RepMarkGreen,0
234,RepMTG,0
235,RepMGriffith,0
236,RepRaulGrijalva,0
237,RepGrothman,0
238,RepMichaelGuest,0
239,RepGuthrie,0
240,RepJoshHarder,0
241,RepHarshbarger,0
242,RepHartzler,0
243,RepJahanaHayes,0
245,RepHerrell,0
247,RepBrianHiggins,0
248,RepClayHiggins,0
249,RepFrenchHill,0
251,RepAshleyHinson,0
252,RepHorsford,0
253,RepHoulahan,0
255,RepRichHudson,0
256,RepHuffman,0
257,RepHuizenga,0
260,RepRonnyJackson,0
261,RepJacobs,0
262,RepSaraJacobs,0
263,RepJayapal,0
264,RepJeffries,0
265,RepBillJohnson,0
266,RepDustyJohnson,0
267,RepEBJ,0
268,RepHankJohnson,0
269,RepMikeJohnson,0
270,RepMondaire,0
272,RepDaveJoyce,0
273,RepJohnJoyce,0
274,RepJohnKatko,0
276,RepFredKeller,0
278,RepRobinKelly,0
279,RepRoKhanna,0
280,RepDanKildee,0
281,RepDerekKilmer,0
282,RepAndyKimNJ,0
283,RepYoungKim,0
284,RepRonKind,0
285,RepKirkpatrick,0
287,RepAnnieKuster,0
288,RepDavidKustoff,0
289,RepLaHood,0
290,RepLaMalfa,0
292,RepRickLarsen,0
293,RepJohnLarson,0
295,RepLaTurner,0
296,RepLawrence,0
297,RepAlLawsonJr,0
298,RepBarbaraLee,0
299,RepSusieLee,0
300,RepTeresaLF,0
301,RepDLesko,0
302,RepJuliaLetlow,0
303,RepAndyLevin,0
304,RepMikeLevin,0
305,RepTedLieu,0
307,RepLoudermilk,0
308,RepLowenthal,0
309,RepFrankLucas,0
310,RepBlaine,0
311,RepElaineLuria,0
312,RepNancyMace,0
313,RepMalinowski,0
314,RepMalliotakis,0
315,RepMaloney,0
316,RepSeanMaloney,0
317,RepKManning,0
318,RepThomasMassie,0
319,RepBrianMast,0
321,RepLucyMcBath,0
323,RepMcCaul,0
324,RepLisaMcClain,0
326,RepMcEachin,0
327,RepMcGovern,0
329,RepMcKinley,0
330,RepGregoryMeeks,0
331,RepMeijer,0
332,RepGraceMeng,0
333,RepMeuser,0
334,RepKweisiMfume,0
335,RepMMM,0
336,RepCarolMiller,0
337,RepMaryMiller,0
338,RepAlexMooney,0
339,RepBarryMoore,0
340,RepBlakeMoore,0
341,RepGwenMoore,0
342,RepJoeMorelle,0
343,RepMullin,0
344,RepGregMurphy,0
345,RepStephMurphy,0
346,RepJerryNadler,0
348,RepRichardNeal,0
349,RepJoeNeguse,0
350,RepTroyNehls,0
351,RepNewhouse,0
352,RepMarieNewman,0
354,RepRalphNorman,0
356,RepOHalleran,0
359,RepBurgessOwens,0
363,RepJimmyPanetta,0
364,RepChrisPappas,0
366,RepDonaldPayne,0
368,RepPerlmutter,0
369,RepScottPeters,0
370,RepPfluger,0
371,RepDeanPhillips,0
375,RepKatiePorter,0
376,RepPressley,0
377,RepDavidEPrice,0
378,RepMikeQuigley,0
379,RepRaskin,0
381,RepKathleenRice,0
382,RepTomRice,0
384,RepMikeRogersAL,0
385,RepJohnRose,0
386,RepRosendale,0
387,RepDeborahRoss,0
388,RepDavidRouzer,0
389,RepChipRoy,0
390,RepRoybalAllard,0
391,RepRaulRuizMD,0
393,RepBobbyRush,0
394,RepTimRyan,0
396,RepMariaSalazar,0
397,RepLindaSanchez,0
398,RepSarbanes,0
400,RepMGS,0
402,RepAdamSchiff,0
403,RepSchneider,0
404,RepSchrader,0
405,RepKimSchrier,0
406,RepDavid,0
410,RepTerriSewell,0
412,RepSherrill,0
414,RepSires,0
415,RepSlotkin,0
416,RepAdamSmith,0
417,RepAdrianSmith,0
418,RepJasonSmith,0
419,RepSmucker,0
420,RepDarrenSoto,0
421,RepSpanberger,0
422,RepSpartz,0
423,RepSpeier,0
424,Rep_Stansbury,0
425,RepGregStanton,0
426,RepPeteStauber,0
427,RepSteel,0
428,RepStefanik,0
429,RepBryanSteil,0
430,RepGregSteube,0
431,RepHaleyStevens,0
432,RepChrisStewart,0
433,RepStricklandWA,0
434,RepTomSuozzi,0
435,RepSwalwell,0
436,RepMarkTakano,0
439,RepThompson,0
440,RepTiffany,0
441,RepTimmons,0
443,RepRashida,0
444,RepPaulTonko,0
446,RepRitchie,0
447,RepLoriTrahan,0
448,RepDavidTrone,0
449,RepMikeTurner,0
450,RepUnderwood,0
451,RepDavidValadao,0
452,RepBethVanDuyne,0
453,RepJuanVargas,0
454,RepVeasey,0
456,RepAnnWagner,0
457,RepWalberg,0
458,RepWalorski,0
460,RepDWStweets,0
461,RepBonnie,0
462,RepWebster,0
464,RepWesterman,0
465,RepWexton,0
466,RepSusanWild,0
467,RepNikema,0
468,RepRWilliams,0
469,RepWilson,0
470,RepJoeWilson,0
473,RepJohnYarmuth,0
474,RepLeeZeldin,0
